batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
352,1.21188,3.71242,3.54878,11.6297,11.6295
353,1.03671,3.89347,3.76835,12.2646,11.541
354,1.2303,3.74766,3.4074,12.8311,12.9065
355,1.13364,3.86622,4.34027,11.9141,12.5924
356,1.20398,3.72046,3.91613,12.6641,11.2549
357,1.19678,3.92831,3.936,11.8825,10.8565
358,1.118,3.89479,3.93039,12.8234,13.5547
359,1.16347,3.40815,3.54071,12.1929,12.0309
360,1.13062,3.6198,3.49727,11.8842,12.6858
361,1.18185,3.57459,3.56711,12.4668,12.9598
362,1.11236,3.54577,3.40233,12.4231,11.3108
363,1.2544,3.44047,3.89074,11.5655,11.6581
364,1.19205,3.72642,3.78557,13.0219,13.2208
365,1.05807,4.15243,3.94701,12.2842,11.3142
366,0.7233,4.15305,3.65074,12.242,11.8156
367,1.18791,3.8606,4.38466,11.4951,12.0245
368,1.23439,3.58611,3.30765,11.9944,11.2169
369,1.24056,3.35841,3.78197,11.2721,13.3245
370,1.17941,4.13446,3.83276,11.9498,11.9154
371,1.16782,3.41107,3.38322,12.3042,10.819
372,1.26691,3.41706,3.91946,12.9047,11.8769
373,1.16215,4.1533,3.8764,12.1821,12.327
374,1.24746,3.77343,4.16419,11.3619,12.2069
375,1.14837,3.53094,3.74667,12.5534,11.9737
376,1.23231,3.43834,3.46126,12.2158,12.103
377,1.32495,3.8705,3.28213,11.2282,12.9294
378,1.17858,3.81796,3.38025,11.9708,11.3441
379,1.32989,3.71454,3.67029,11.5174,11.3704
380,1.14365,3.85945,3.18457,12.8758,13.6546
381,1.28483,3.61043,3.48149,12.8543,11.6505
382,1.26248,3.49319,3.49063,11.0201,12.0417
383,1.17882,3.4504,3.12191,13.1778,11.6158
384,1.30387,3.82741,3.09552,11.7211,11.2123
385,1.21956,3.46367,3.5258,12.1582,11.6781
386,1.14621,3.89413,3.21774,11.9632,11.4977
387,1.2537,3.68168,3.9535,11.7592,12.3673
388,1.12045,3.30768,3.46001,13.149,12.4015
389,1.35556,3.45426,3.54383,12.4728,11.7118
390,1.15956,3.41153,3.04136,10.8969,11.3373
391,1.24223,3.13147,3.43845,12.4274,12.2438
392,1.25443,3.35795,3.38476,13.0892,12.443
393,1.20454,3.25157,3.3694,9.81351,11.3046
394,1.20777,3.20344,3.31373,12.6933,11.6884
395,1.27005,3.0064,3.21444,12.153,11.7782
396,1.15199,3.50947,3.67427,11.9669,11.3871
397,1.25591,3.38673,3.46399,13.6944,11.5586
398,1.20345,3.20492,3.04254,11.4334,12.0659
399,1.30658,3.55325,3.42333,12.1555,11.3475
400,1.15142,3.50362,2.94318,12.2196,11.7579
401,1.20566,3.69127,3.44329,11.8184,12.5145
402,1.21206,3.61494,3.40657,11.4926,13.081
403,1.18837,3.15261,3.16364,11.0693,12.1905
404,1.1694,3.28743,3.00577,12.9013,13.0492
405,1.31427,3.29306,3.39364,11.9424,11.198
406,1.20397,3.14089,3.27162,11.7906,10.6979
407,1.18701,3.28846,3.51247,10.9521,12.0826
408,1.16747,3.34989,3.16968,12.9851,12.5891
409,1.20376,3.61244,3.444,12.1235,11.7525
410,1.18432,3.446,3.61641,11.9229,12.3056
411,1.19837,3.64338,3.75054,10.799,10.7989
412,1.20853,3.17881,3.52392,11.8655,13.1758
413,1.26543,3.21604,3.53158,11.5339,11.8652
414,1.19808,3.06846,3.15979,12.4078,11.798
415,1.21035,3.11859,3.071,11.673,11.9666
416,1.24625,3.07048,2.8956,12.196,11.8496
417,1.1659,3.43997,3.5297,12.3104,12.5727
418,1.19461,4.05161,3.59761,12.0953,11.5105
419,1.03605,3.41065,3.59973,11.1376,12.4709
420,1.17243,3.4867,3.5963,10.6085,12.5756
421,1.311,3.31455,3.15482,12.7736,10.8992
422,1.20523,3.38582,3.27785,11.4447,11.0145
423,1.16063,3.30433,3.30102,12.754,12.7958
424,1.16915,3.74576,3.58392,11.6141,12.6284
425,1.18126,3.12642,3.21866,11.538,12.0539
426,1.26986,3.45217,3.82861,12.6689,11.4676
427,1.15967,3.34016,3.06085,12.2081,11.1708
428,1.27018,3.33268,3.11915,12.0474,12.0327
429,1.18694,3.35531,3.16913,11.9147,13.3111
430,1.30462,3.31604,3.55574,11.9997,11.5194
431,1.18546,3.53539,3.13779,12.0437,11.3926
432,1.25471,3.19696,3.07418,12.4181,11.9095
433,1.19565,3.11948,3.31708,11.5905,11.6566
434,1.25302,2.91918,3.44338,11.6417,12.0579
435,1.20538,3.17144,3.31659,12.665,11.6188
436,1.19584,3.18783,3.24341,11.4243,11.836
437,1.2244,3.60525,3.42388,12.1831,12.3768
438,1.24073,3.27852,3.35352,10.8664,10.7039
439,1.23775,3.37682,3.18188,12.1398,11.1971
440,1.17412,3.18027,3.14626,12.2855,12.2424
441,1.25104,3.107,2.97062,11.5416,11.8308
442,1.27267,3.26267,3.20729,12.1845,11.0913
443,1.15976,3.33665,3.34178,11.5811,12.324
444,1.2218,3.19143,3.71181,11.8652,12.4869
445,1.18109,3.29116,3.12067,12.8408,11.9867
446,1.23198,3.03222,3.12785,14.0291,11.7546
447,1.17434,3.18751,3.17832,13.1395,11.897
448,1.23624,3.07932,3.24707,12.4413,12.5824
449,1.21295,2.94425,3.44651,11.8835,11.7378
450,1.3339,3.64228,2.96484,12.6196,12.6335
451,1.23049,3.21208,3.43747,12.4467,13.1299
452,1.19812,3.00862,3.08054,12.8485,12.7746
453,1.22129,2.96885,3.01395,12.4719,12.3799
454,1.19629,3.23537,3.2596,12.8593,11.2648
455,1.21209,3.44433,3.34235,13.0952,12.9935
456,1.22837,3.62608,3.29352,11.6203,11.6483
457,1.18075,2.8802,3.15629,10.5368,12.119
458,1.15029,2.96064,3.57864,12.3228,11.0382
459,1.27668,2.83583,3.11112,12.1189,12.3932
460,1.15134,3.20807,3.27457,11.5701,11.0932
461,1.24839,2.76045,3.13355,11.7206,13.5144
462,1.21025,3.51872,3.04092,12.2211,12.6023
463,1.20639,3.12572,3.09182,11.9821,11.1719
464,1.20806,2.99335,2.80649,12.6596,12.1517
465,1.16179,3.27607,3.25234,12.5503,12.2556
466,1.31395,3.30123,3.13264,12.5276,12.4614
467,1.20208,3.31346,2.82907,11.8749,13.1085
468,1.21038,3.08931,3.33225,13.2812,11.8946
469,1.10269,3.16247,3.07408,11.7268,12.0749
470,1.2275,3.09295,3.33512,11.5601,13.5062
471,1.19464,3.01892,2.94618,11.5858,12.0138
472,1.19077,3.01914,3.17003,11.8239,13.0914
473,1.15813,3.08526,3.31431,12.4386,11.1718
474,1.2624,3.03988,2.98144,13.3651,12.3438
